,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
ST,ラウドロック,ミクスチャー,バンドサウンド,ハード,重厚感,力強い,熱い,エモーショナル,決意表明,メッセージ性,限界突破,挑戦,未来へ,メンバーの個性,ボーカルケミストリー,伝える歌唱,ラップ,サビの迫力,シンガロング,ST（歌詞）,リード曲,オープニングナンバー,,,,,,,,,,
Special Order,エキゾチック,異国風,民族音楽,インド風,攻撃的ビート,重低音,EDM,ダンスチューン,アッパーチューン,音サビ,トランシー,Special Order,戦闘,気迫,力強さ,カリスマ性,ワイルド,官能的,ボーカル（打楽器）,英語詞,ラップ,高音フェイク,ハイトーン,パフォーマンス,ライブ映え,音楽的運動神経,グローバルポップ,幅広いジャンル,,,,
Life Time,壮大,バラード,ドラマティック,歌唱力,絆,未来,ファンへのメッセージ,アルバム本編を締める,CM曲,荘厳,ソロパート,盛り上がり,,,,,,,,,,,,,,,,,,,,
うやむや,ボカロ調,音の多さ,BPMが高い,ピアノ,緻密,言葉数を詰め込んだ,アニメーションMV,うやむや,歌割,リスペクト,古き良きボカロ文化,近年の音楽シーン,日本発のポップミュージック,,,,,,,,,,,,,,,,,,,
S.I.X,SixTONES,自信,強さ,圧倒,EDM,パリピソング,パーティーソング,ノリノリ,オラオラ,ギラギラ,ラップ,樹,メンバー全員,リズム感,クラップ,ライブ,コンサート,マスト曲,定番曲,ファンと一体,チームSixTONES,メンバー主導,光浴びてFlex 想像を超えるスペック,,,,,,,,,
"""Laugh"" in the LIFE",明るい,楽しい,元気になれる,洋楽っぽい,お洒落,洗練,ポップ,聴き心地が良い,ラフに聞ける,歌唱力,ソロパート,フェイク,ライブ定番,ライブにマスト,騒ぐ,盛り上がる,Jr時代からファンに愛されている,,,,,,,,,,,,,,,
RAM-PAM-PAM,衝撃,問題作,賛否両論,音源化待望,カッコ良い,ブチ上がる,痺れる,畳みかける,Bメロからサビ,メロディーラインの変化,クセになる,ゾクゾク感,気持ち良い,パフォーマンス,大人のエロス,SixTONESらしさ,個性がぶつかり合う,見せパン,髙地くんのソロ,,,,,,,,,,,,,
Imitation Rain,Imitation Rain,SixTONES,デビュー曲,YOSHIKI,X JAPAN,ロックバラード,ピアノ,異色,京本大我,高音,覚悟,MV,水の演出,話題騒然,,,,,,,,,,,,,,,,,,
Telephone,SixTONES,Telephone,ラブソング,電話,機械音,Just keep on ringing,ベース,遊び心,ラップ,歌唱力,クール,本格的,韻,強引,男らしい,攻める,大人っぽい,艶やか,色っぽい,田中樹,ジェシー,髙地優吾,森本慎太郎,京本大我,松村北斗,TrackONE -IMPACT-,ギャングスーツ,ワイルド,人気,トレンド入り,熱狂,おすすめ
NEW WORLD,NEW WORLD,SixTONES,疾走感,ポジティブ,歌詞,苦節,仲間,絆,成長,Jr.時代,デビュー,STONE,新しい世界,意気込み,感謝,ファン,希望,門出,,,,,,,,,,,,,,
NAVIGATOR,SixTONES,NAVIGATOR,富豪刑事 Balance:UNLIMITED,アニメOP,ダンスチューン,疾走感,ストリングス,インダストリアル,ブレイク・ビーツ,カオティック,近未来,SF,機械的,冷たさ,鋭さ,中毒性,テクニカル,高いボーカルスキル,日本語と英語の混じり,和音のつながり,違和感,ユニゾン,オクターブ,MV,CG,キャッチーな振り付け,,,,,,
NEW ERA,SixTONES,NEW ERA,半妖の夜叉姫,オープニングテーマ,ミクスチャーロック,ラウドロック,和テイスト,ヒップホップ,ノンジャンル,疾走感,エネルギッシュ,エモーショナル,新時代,決意,時代を超越,和楽器,イントロ,スキャット,声の重ね方,ハモリ,ボーカル,表現力,松村北斗,京本大我,壮大なスケール,中毒性,戦闘モード,,,,,
僕が僕じゃないみたいだ,僕が僕じゃないみたいだ,SixTONES,王道ポップ,ラブソング,切ない,葛藤,自分らしくいられない,素直になれない男心,ライアー×ライアー,主題歌,生音,ストリングス,ホーン,疾走感,感情的,クリーンな歌声,歌割り,サビユニゾン,個性,松村北斗（歌い出し）,意外性,SixTONESの新境地,儚い,化学反応,ボーカル。,,,,,,,
Strawberry Breakfast,ファンク,ディスコ,ダンス・チューン,ポップミュージック,ゴージャス,盛り上がる,海外のオシャレなラブコメ映画,ラブソング,日本語と英語を融合,海外のクリエイター,コンサート,ドライブ・ミュージック,人気,カップリング曲,,,,,,,,,,,,,,,,,,
Call me,R&B,トロピカルR&B,浮遊感,チル,エモーショナル,メロディアス,生楽器,エレクトロ,切ない恋心,全編英語詞,SixTONESらしい,,,,,,,,,,,,,,,,,,,,,
マスカラ,常田大希,King Gnu,millennium parade,楽曲提供,高難易度,ミクスチャー,ジャズ,ファンク,歌謡曲,複雑なメロディ,ピッチ・テンポの変化,大人のラブソング,切ない,寂寥感,満たされない想い,六TONESの研究,新たな一面,歌い繋ぎ,6人の個性,歌唱力,アイドル,パフォーマンス,癖になる,サウンド・メイキング,アルペジオ,雨,,,,,,
フィギュア,くじら,ボカロ,CITY POP,ダンスミュージック,ピアノ,エールソング,あるがまま,個性,代替不可,SixTONES,密度,情報量,マーブル模様,アニメーションMV,リトルサンダー,えむめろ,,,,,,,,,,,,,,,,
共鳴,共鳴,SixTONES,ミクスチャーサウンド,ロック,ジャズ,ヒップホップ,疾走感,技巧的構成,バンドサウンド,歌詞,絆,応援ソング,SixTONESの生き様,歌割り,個性を活かす,半妖の夜叉姫,SAEKI youthK,,,,,,,,,,,,,,,
Wave Crash,EDM,ヒップホップ,ハードコア,アグレッシブ,攻撃性,激しい,シンセ,ビート,ラップ,ビート・スイッチ,2拍3連フロウ,破壊力,キラーチューン,アッパーチューン,開放感,RAM-PAM-PAM,真骨頂,フロアライク,攻め,Wild,,,,,,,,,,,,
FASHION,FASHION,SixTONES,モータウン・サウンド,バブルガム・ポップ,ディスコ,ギター・カッティング,四つ打ち,ハンド・クラップ,ダンスチューン,ポップ,ファッション,自分らしい,個性,自由,Runway,踊る,楽しむ,陽気,明るい,カラフル,Feel da CITY,Strawberry Breakfast,strike a pose,Move your body,,,,,,,,
Gum Tape,Gum Tape,ラブソング,失恋,バラード,切ない,喪失感,別れ,思い出,アコースティックギター,ラップ,歌,ヴォーカリゼーション,シンプル,壮大,ストリングス,リアル,オーガニック,同棲解消,田中,他のメンバー中心,,,,,,,,,,,,
マスカラ -Emotional Afrobeats Remix-,マスカラ,SixTONES,リミックス,Afrobeats,アフロ・ビーツ,ギターリフ,サンプリング,パーカッション,ダンサブル,Emotional,Cool,ラテン要素,中南米テイスト,西アフリカ,世界的流行,,,,,,,,,,,,,,,,,
わたし,わたし,“わたし”,ミニマリズム,制御されたサウンド,ストイック,言葉,スポークン・ワーズ,ボーカル,表現力,恋,怖れ,葛藤,自分が自分でなくなる,有り得ない,切実,えぐみ,ダークな要素,危うさ,衝動,バラード,新境地,SAEKI youthK,ドラマ主題歌,,,,,,,,,
Good Luck!,応援ソング,王道ポップス,SixTONES史上一番明るい,ポジティブ,ありのまま,肯定,ホーンセクション,バンドサウンド,グルーヴ,ユニゾン,田中樹のラップ,ジェシー,最初はパー,主題歌,笑顔,爽やか,元気,メッセージ,解放感,,,,,,,,,,,,,
ふたり,ふたり,バラード,ラブソング,温かい,切ない,儚さ,日常の幸せ,純愛,表現力,ボーカル,ユニゾン,ハーモニー,ピアノ,アコースティック,ドラマ主題歌,束の間の一花,命,普遍的,憂い,前向き,叙情性,,,,,,,,,,,
Rosy,SixTONES,Rosy,スパイダーマン：ノー・ウェイ・ホーム,主題歌,Rockチューン,疾走感,熱量,言葉数が多い,早口,畳みかけ,ダンス,振り付け,GANMI,フォーメーション,スパイダーマン彷彿,トリッキーな動き,ハイキック,足上げ,ジャンプ,6人,個性,ボーカルワーク,ユニゾン,ハモリ,裏声,中毒性,集大成,運命への葛藤,強い意思,見せ場,,
Everlasting,Everlasting,SixTONES,バラード,希望,永遠,途切れないもの,強く優しい気持ち,あなた,夜明け前,未来,真摯な歌声,ユニゾン,声の重なり,美しさ,CITY,出光興産CMソング,未来予想図,チルアウト,,,,,,,,,,,,,,
WHIP THAT,EDM調,トランスナンバー,ぶち上がる,ライブで大盛り上がり,SixTONESとファン一体感,キラーチューン,にぎやかな空気感,熱狂的,最高潮,「WHIP THAT」リフレイン,体が乗る,脳内に響く,全員の声,,,,,,,,,,,,,,,,,,,
Boom-Pow-Wow!,SixTONES,Boom-Pow-Wow!,スウィング・ハウス,アッパーチューン,ノリが良い,ワイルド,クール,SixTONESらしさ,ライブ,盛り上がる,定番曲,起爆剤,煽り,Shout,声出し,ダンス,Xダンス,慣声の法則,,,,,,,,,,,,,,
Outrageous,ダブステップ・テイスト,エレクトロチューン,強烈,勢い,力強さ,世界観,SixTONESらしい,個性の強い,圧倒するような存在感,滑らかな英詞パート,豪快なボースティング,男臭い合いの手,かっこいい,テンションぶち上がる,,,,,,,,,,,,,,,,,,
人人人,人人人,おまじない,等身大,赤裸々な歌詞,胸中,心地いいグルーヴ,遊び心,新鮮,肩の力が抜ける,一人の人間,ラップマイクリレー,日本独自の音楽カルチャー,Show Must Go On,,,,,,,,,,,,,,,,,,,
Chillin' with you,チル,ラップ曲,ミディアム調,しっとり,深み,色気,心地よいグルーヴ,スムース,削ぎ落とされたアレンジ,穏やかな日々,英詞メイン,落ち着く,ワクワク,チルアウト,異彩,,,,,,,,,,,,,,,,,
PARTY PEAPLE,夏曲,パーティーチューン,パリピ,ノリノリ,ジョイフル,エネルギー全開,開放感,サマーフェス,ライブ,盛り上がり,SixTONESらしさ,メンバー個性,ホーンサウンド,バンドサウンド,ファンキー,ヴァイブ,疾走感,イントロ,クラップ,スキャット,ラップ,ファルセット,夏の恋,刺激的な恋,大人っぽい色気,フラストレーション解放,異質,未だかつてない,フック,,,
ABARERO,ヒップホップ,攻撃的,ヘヴィビート,ドープ,EDM,ハードサウンド,最先端サウンド,ブレない意志,My style,限界突破,暴れる,モンスター,パワー,熱量,パフォーマンス,ラップ,ノンタイアップ,方向性,推進力,ジェットコースター,,,,,,,,,,,,
Drive,ドライブソング,チル,君とのドライブ,心地よいリズム,自然と体が揺れる,開放感,ポップチューン,メロウ,グルーヴィー,R&Bナンバー,エンジン音,ブレイクビーツ,メロディアスなギター,ファンキーなソロ,ご機嫌なかけ声,ナチュラルな魅力,風任せ,,,,,,,,,,,,,,,
こっから,SixTONES,こっから,ブレイクビーツ,生バンド,ミクスチャーサウンド,HIP HOP,アッパーチューン,グルーヴ,ラップ,マイクリレー,応援歌,エールソング,決意,情熱,リリック,現実,劣等感,嫉妬,ドラマ『だが、情熱はある』,SAEKI youthK,パフォーマンス,ダンス,聴いて楽しい,見て楽しい,一億回再生,田中樹,京本大我,ジェシー,髙地優吾,松村北斗,森本慎太郎,
CREAK,CREAK,SixTONES,ノッキンオン・ロックドドア,主題歌,ノック音,ミステリアス,スリリング,不穏,ストリングス,ビート,疾走感,緊張感,ミクスチャー,ジャンルレス,独創的,多彩な音色,転調,目まぐるしい変化,マイクリレー,歌唱表現,真実,仲間,絆,,,,,,,,,
アンセム,アンセム,ライブ,爆速ラップ,重厚なサウンド,スタジアムロック,盛り上がる,声出し,一体感,熱い,エールソング,前進,解放感,グルーヴ,緩急,シンガロング,バンドサウンド,,,,,,,,,,,,,,,,
Something from Nothing,ハードロック,ヘヴィメタル,ミクスチャーロック,デスボイス,骨太バンドサウンド,歪みギター,激しいドラム,キャッチーなサビ,サビの抜け感,エネルギッシュ,壮大,誇り,MEGMETAL,,,,,,,,,,,,,,,,,,,
Only Holy,バラード,ウインターソング,温かい,寄り添う,包み込む,ピアノ,ストリングス,ソフトな歌声,ラブバラード,心地良い,穏やか,柔らかな響き,温かみのある歌声,初のウインターソング,,,,,,,,,,,,,,,,,,
Bang Bang Bangin',高速,ハイスピード,四つ打ち,EDM,アッパーチューン,パワフル,ライブ,盛り上がり,煽り,独特の音,インド映画風,タフ,SixTONESの真骨頂,,,,,,,,,,,,,,,,,,,
DRAMA,DRAMA,SixTONES,セクシー,エロカッコイイ,ダンスチューン,ビート,ダーク,キャッチー,エスニック,展開,メロディ,大人,ライブ,ファン,焦り,,,,,,,,,,,,,,,,,
